Player Name,School Name,Position,Height,Year,Games Started,PPG,RebPG,AstPG,+/-,FG%,3FG%,FT%
Jamail Pink,Detroit Mercy,G,6'1,Junior,7,3.5,1.1,0.7,-153,27.9,23.1,88.9
Marcus Hall,Green Bay,F,6'6,Freshman,9,6.3,3.5,1.2,-39,43.8,28.2,90.6
Josh Corbin,Robert Morris,G,6'3,Senior,28,13.3,2.9,3.1,-80,36.9,35.3,84.5
Ryan Hurst,Detroit Mercy,G,6'3,Freshman,4,12.4,4.2,0.2,-69,31.7,25.6,77.8
David Douglas Jr.,Green Bay,G,6'5,Freshman,15,8.4,2.1,0.8,-47,40,38,66.7
Jacob Antchak,Green Bay,F,6'8,Freshman,0,1.2,1,0,-7,50,NA,50
KJ Debrick,Cleveland St.,F,6'9,Junior,0,3,4.5,0.2,18,50,0,66.7
Trenton Johnson,Detroit Mercy,G,6'2,Junior,0,3.9,1.4,1.3,-46,50,20,100
Jack Gohlke,Oakland,G,6'3,Senior,15,12.2,4.1,1.1,86,37.3,37,78.9
Tyree Davis,Detroit Mercy,F,6'6,Sophomore,5,2.4,2,0.1,-94,58.1,0,57.9
Abdullah Olajuwon,Detroit Mercy,G,6'5,Freshman,5,2.3,2.8,0.4,-144,46.2,0,55.6
AJ Braun,Wright St.,F,6'9,Junior,30,11.9,5.8,0.9,111,69.5,NA,57.8
Tevin Smith,Cleveland St.,G,6'4,Sophomore,13,8.1,4.2,1,88,47.1,44.4,69.1
Elijah Jamison,Milwaukee,G,6'3,Sophomore,21,8.9,2.8,2.6,42,38.4,28.6,74.7
Zach Howell,Milwaukee,G,6'5,Sophomore,0,3.1,0.6,0.2,-18,37.5,38.9,NA
Trey Townsend,Oakland,F,6'6,Junior,34,16.9,7.8,3.1,54,45.7,34.6,79.5
Chris Conway,Oakland,F,6'9,Junior,33,10.1,4.1,1.2,73,54.4,16.7,75.3
Angelo Stuart,Milwaukee,G,6'1,Senior,2,3.6,0.8,0.4,-70,36.1,31.3,81.8
Qwanzi Samuels,IUPUI,F,6'9,Senior,6,5,4.7,0.6,-222,47.2,9.5,77.4
